year,Base case cost,Modeled residential ashp
2017,1000560.37648,1689002.30657
2018,1078033.63132,1727698.41944
2019,1177564.37224,1780999.71357
2020,1237246.49009,1811295.25374
2021,1286846.47158,1836191.49622
2022,1330421.30482,1858001.42057
2023,1367608.98606,1876355.17454
2024,1395066.12609,1886165.73274
2025,1433098.48278,1905995.39649
2026,1474091.15802,1928221.9581
2027,1515646.95023,1951309.06362
2028,1552649.67507,1971869.52926
2029,1595251.25592,1996576.52766
2030,1630500.3414,2016811.98843
2031,1674107.48825,2043072.06135
