year,Base case cost,Modeled non-residential ashp
2017,25594.4469323,72110.2492403
2018,27093.197181,72802.4056337
2019,29200.8147182,74112.7663311
2020,30184.3695688,74333.715815
2021,30840.0728026,74249.2154848
2022,31355.2682006,74043.4149787
2023,31683.1198175,73669.7729475
2024,32010.9714344,73312.4579783
2025,32338.8230513,72971.0874471
2026,32760.3465587,72737.5679331
2027,33088.1981756,72426.973953
2028,33416.0497925,72131.2293503
2029,33790.7373547,71896.1262976
2030,34024.917081,71536.7643311
2031,34446.4405884,71375.7924946
