year,Base case cost,Modeled residential ashp
2017,362780.110281,601264.455343
2018,390529.290262,618766.004995
2019,433409.981406,649481.891638
2020,453834.763681,661765.86318
2021,475171.242346,676095.675769
2022,488938.487857,683478.214877
2023,500367.178866,689141.523068
2024,511076.039498,694362.09308
2025,522759.188982,700491.873085
2026,541241.042411,713352.823091
2027,559125.582505,725886.185391
2028,576356.262939,738033.072303
2029,589692.257207,746040.885241
2030,605464.428111,757257.225351
2031,626211.711541,772690.391184
