year,Base case cost,Modeled transmission and interties
2021,253595.786186,634560.444284
2022,259373.270394,634965.963114
2023,262698.84667,632973.406168
2024,265540.256039,629978.786725
2025,268753.823553,627439.564435
2026,272311.366361,626018.502713
2027,273941.635826,622514.855928
2028,275966.465188,619091.254231
2029,279573.869962,617456.03673
2030,280137.526958,613474.385458
2031,283040.360487,611093.756632
2032,286107.955291,610517.158986
2033,289744.265552,609293.051204
2034,293289.523529,608737.125098
2035,294158.856049,604780.657924
2036,296844.898426,603399.303499
2037,298226.580703,600300.93655
2038,301411.965367,599751.977727
2039,302917.941238,597513.020575
2040,306172.699071,597121.571525
