year,annotation,consumption,consumption residential,consumption non-residential
2003,,2539080.0,1003565.0,1535515.0
2004,,2446274.0,1027794.0,1418480.0
2005,,2360818.0,978321.0,1382497.0
2006,,2662256.0,982189.0,1680067.0
2007,,2820765.0,1000547.0,1820218.0
2008,,3027125.0,1043970.0,1983155.0
2009,,2908714.0,1056878.0,1851836.0
2010,,2734763.0,1031563.0,1703200.0
2011,,2726216.0,1086331.0,1639885.0
2012,,3113176.0,1166390.0,1946786.0
2013,,2772968.0,1143085.0,1629883.0
2014,,2501448.0,1057364.0,1444084.0
2015,,2630318.0,1043299.0,1587019.0
2016,start of forecast,2662597.0,1108935.0,1553662.0
2017,,2663297.0,1109635.0,1553662.0
2018,,2663087.0,1109425.0,1553662.0
2019,,2667999.0,1114337.0,1553662.0
2020,,2667922.0,1114260.0,1553662.0
2021,,2672280.0,1118618.0,1553662.0
2022,,2678842.0,1125180.0,1553662.0
2023,,2686407.0,1132745.0,1553662.0
2024,,2695387.0,1141725.0,1553662.0
2025,,2699997.0,1146335.0,1553662.0
2026,,2702899.0,1149237.0,1553662.0
2027,,2704398.0,1150736.0,1553662.0
2028,,2705964.0,1152302.0,1553662.0
2029,,2710954.0,1157292.0,1553662.0
2030,,2715920.0,1162258.0,1553662.0
2031,,2713362.0,1159700.0,1553662.0
2032,,2715088.0,1161426.0,1553662.0
2033,,2713720.0,1160058.0,1553662.0
2034,,2715238.0,1161576.0,1553662.0
2035,,2717998.0,1164336.0,1553662.0
2036,,2718941.0,1165279.0,1553662.0
2037,,2720295.0,1166633.0,1553662.0
2038,,2712690.0,1159028.0,1553662.0
2039,,2714014.0,1160352.0,1553662.0
2040,,2712408.0,1158746.0,1553662.0
