year,Base case cost,Modeled transmission and interties
2021,607637.984902,2413461.8795
2022,624802.89973,2406720.70339
2023,636818.340109,2395060.49188
2024,647117.289006,2381247.28885
2025,659132.729385,2369830.85137
2026,672864.661248,2361689.72473
2027,684880.101627,2352247.84777
2028,693462.559041,2339656.91691
2029,707194.490903,2333083.50599
2030,715776.948317,2320609.3809
2031,729508.880179,2315020.8315
2032,744957.303524,2310851.53953
2033,758689.235386,2306202.22663
2034,774137.658731,2303841.8517
2035,784436.607628,2295525.04562
2036,799885.030973,2293147.71025
2037,810183.979869,2286576.82847
2038,825632.403214,2285033.70343
2039,837647.843594,2281113.24347
2040,854812.758422,2282201.44772
