year,Base case diesel consumed,Kivalina wind-intertie feasibility analysis & conceptual design,Modeled wind power
2019,99362.2445788,43618.4984278,66699.3823341
2020,99285.0999789,43541.353828,66622.2377343
2021,99362.2445788,43618.4984278,66699.3823341
2022,99593.6783783,43849.9322273,66930.8161336
2023,100056.545977,44312.7998263,67393.6837326
2024,100287.979777,44544.2336258,67625.1175321
2025,100519.413576,44775.6674253,67856.5513315
2026,100596.558176,44852.8120251,67933.6959314
2027,100673.702776,44929.9566249,68010.8405312
2028,100596.558176,44852.8120251,67933.6959314
2029,100596.558176,44852.8120251,67933.6959314
2030,100750.847376,45007.1012248,68087.985131
2031,100982.281175,45238.5350242,68319.4189305
2032,101059.425775,45315.6796241,68396.5635303
2033,101213.714975,45469.9688237,68550.85273
2034,101213.714975,45469.9688237,68550.85273
2035,101213.714975,45469.9688237,68550.85273
2036,101290.859574,45547.1134236,68627.9973298
2037,101290.859574,45547.1134236,68627.9973298
2038,101368.004174,45624.2580234,68705.1419297
