year,Base case cost,Modeled residential energy efficiency
2017,4002614.27195,4154706.31416
2018,4316637.78757,4386433.20457
2019,4695195.56758,4660186.05796
2020,4926407.40803,4831155.46811
2021,5120982.263,4979372.9425
2022,5284544.05843,5100868.23685
2023,5407601.06071,5191888.80503
2024,5521968.97461,5274656.69032
2025,5642731.94162,5364245.80615
2026,5791091.61701,5478014.54412
2027,5954481.08565,5609136.14711
2028,6122566.34542,5747267.08746
2029,6148202.38007,5739503.1335
2030,6183593.33118,5749539.16778
2031,6298099.74676,5829477.12867
2032,6538734.86219,6037821.41317
2033,6831531.13943,6296762.7476
2034,7135597.12285,6567318.05154
2035,7377201.95529,6781498.31167
2036,7601414.32595,6970947.87492
