year,Base case cost,Modeled residential ashp
2017,1602728.87949,2015573.47574
2018,1730473.45203,2127262.06685
2019,1904841.00217,2283207.65685
2020,2001234.36368,2366986.41439
2021,2080585.06671,2435195.76227
2022,2149338.76156,2493795.82807
2023,2216794.16387,2551920.61573
2024,2270315.05207,2596769.29415
2025,2337173.07757,2654807.59214
2026,2402562.43775,2711225.64795
2027,2471361.35492,2771539.13275
2028,2530639.07707,2822653.07035
2029,2604056.87713,2887743.89354
2030,2667431.05811,2943586.33306
2031,2745651.3603,3013623.34486
