year,Base case cost,Modeled transmission and interties
2021,688152.961178,2638667.75362
2022,710374.281523,2649393.4063
2023,728544.524181,2653724.34046
2024,744620.1132,2653804.21405
2025,763371.066398,2657642.75034
2026,784607.22667,2667376.6908
2027,803742.150944,2675234.81765
2028,820729.762689,2678669.06791
2029,842827.480917,2691155.64956
2030,858324.553516,2694064.35132
2031,883481.606997,2708720.43125
2032,906509.632288,2723935.53618
2033,929773.159837,2739935.58312
2034,955991.436233,2759969.86423
2035,975431.343246,2770087.12691
2036,1002461.4442,2792121.60599
2037,1022321.89096,2803634.14899
2038,1050188.68318,2827665.68318
2039,1073619.69525,2847091.14745
2040,1104607.98946,2872964.61424
