year,Base case cost,Modeled non-residential ashp
2017,164353.108026,216573.86786
2018,175196.684395,227052.219854
2019,189767.740141,241132.505347
2020,196544.975371,247681.475343
2021,201289.040033,252265.754341
2022,205016.51941,255867.687839
2023,207388.551741,258159.827338
2024,209421.72231,260124.518337
2025,211793.754641,262416.657836
2026,214843.510494,265363.694334
2027,217215.542825,267655.833833
2028,219248.713394,269620.524832
2029,221959.607487,272240.11283
2030,223653.916294,273877.35533
2031,226703.672148,276824.391828
