year,Base case cost,Modeled residential ashp
2017,408220.307745,659201.204356
2018,432216.675332,676813.087844
2019,464611.771574,702375.280888
2020,479609.501316,711810.65989
2021,489807.95754,716873.971169
2022,497606.777006,719802.197058
2023,503005.959713,720592.890642
2024,507205.324041,720363.40634
2025,512604.506748,721350.898581
2026,518603.598645,722993.216459
2027,524002.781352,724168.390532
2028,528202.145679,724314.375462
2029,534201.237576,726228.408859
2030,537800.692714,725989.314106
2031,543799.784611,728074.04313
