year,Base case cost,Modeled non-residential ashp
2017,519571.907799,632417.200319
2018,564287.400337,675728.000952
2019,625686.602083,735846.167529
2020,656085.725413,764836.151993
2021,674629.197789,781961.240809
2022,692246.840328,798173.208791
2023,705610.253658,810142.82418
2024,717959.506196,821126.447058
2025,731514.279526,833354.368231
2026,746284.572856,846835.811683
2027,760041.736187,859329.967321
2028,772769.359517,870819.68586
2029,787858.39364,884712.300639
2030,798494.17697,894158.235947
2031,814917.7003,909449.107662
