year,Base case cost,Modeled residential ashp
2017,5521379.64335,10477978.0272
2018,6198151.98897,7266011.5062
2019,7130051.72068,3029894.7809
2020,7612724.24323,624972.507909
2021,7947887.78371,-1157714.48131
2022,8186950.69347,-2590741.15133
2023,8373554.08157,-3846561.1515
2024,8518704.07412,-4914494.31666
2025,8676710.58611,-6064190.55423
2026,8881259.48436,-7370155.31426
2027,9070547.65781,-8570853.65972
2028,9213787.04642,-9589489.54516
2029,9353084.48662,-10815767.6541
2030,9434184.83733,-11764823.2076
2031,9634729.61648,-13122334.9392
