year,Base case cost,Modeled non-residential ashp
2017,382705.363938,504371.706781
2018,405816.006977,525555.522776
2019,436630.197696,554561.625399
2020,451336.970539,567365.391937
2021,461141.485768,575270.831536
2022,468845.033448,581103.115092
2023,474447.613579,584861.151358
2024,478649.548677,587250.446742
2025,483551.806291,590389.6768
2026,489854.708938,594984.397304
2027,495457.289069,598913.899519
2028,499659.224167,601470.64212
2029,505261.804298,605479.96693
2030,509463.739396,608114.661292
2031,515766.642043,612906.682956
