year,Base case cost,Modeled non-residential ashp
2017,140807.342537,169881.860861
2018,151636.232537,179854.017873
2019,167277.962537,194537.559004
2020,174497.222537,201014.326973
2021,179711.132537,205547.191528
2022,183721.832537,208918.738679
2023,181534.37172,206133.712201
2024,183486.02172,207519.464849
2025,186218.33172,209678.772052
2026,189340.97172,212230.639999
2027,192073.28172,214413.37217
2028,194019.960928,215841.017151
2029,197142.520928,218426.718491
2030,199094.120928,219881.100469
2031,202216.680928,222488.106698
