year,Base case cost,Modeled non-residential ashp
2017,1313969.18713,1163044.68607
2018,1403555.41485,1246360.59409
2019,1527980.73113,1362077.133
2020,1587704.88295,1417621.07167
2021,1627520.98416,1454650.36412
2022,1657383.06007,1482422.33346
2023,1679779.617,1503251.31047
2024,1697199.16128,1519451.62591
2025,1717107.21188,1537966.27214
2026,1741992.27514,1561109.57992
2027,1764388.83207,1581938.55693
2028,1781808.37635,1598138.87237
2029,1804204.93328,1618967.84938
2030,1819135.97123,1632853.83405
2031,1844021.03449,1655997.14183
