year,Base case cost,Modeled non-residential ashp
2017,109419.109039,123598.874192
2018,119830.909039,133348.881498
2019,134333.059039,146977.686968
2020,135716.774458,147899.798954
2021,140368.824458,152190.245776
2022,143947.324458,155468.122095
2023,140718.597316,151999.691242
2024,142781.637316,153844.929566
2025,139276.932735,150105.308774
2026,141915.652735,152491.942589
2027,138102.948154,148448.887511
2028,139997.988154,150135.259836
2029,135900.781012,145812.056405
2030,131036.346431,140762.686204
2031,133626.816431,143092.352605
