year,Base case cost,Modeled non-residential ashp
2017,327160.954353,375262.434832
2018,366882.124471,413121.139186
2019,423836.069988,467384.856379
2020,448838.499147,491145.641696
2021,470409.570149,511819.969923
2022,486612.708882,527402.286734
2023,496482.224853,536788.941211
2024,508685.548145,548578.383223
2025,521014.313503,560493.267301
2026,532461.016415,571388.128504
2027,546440.143251,584884.393846
2028,559113.874288,597144.243603
2029,570727.833287,608206.360894
2030,576534.812786,613737.419539
2031,593846.023095,630427.807927
