year,Base case cost,Modeled residential ashp
2017,319137.574681,432384.510966
2018,343574.947108,455612.964521
2019,388446.695252,498792.226243
2020,404958.647051,514509.745641
2021,427872.960935,536871.410898
2022,436724.295993,545308.259485
2023,455204.242454,563477.341093
2024,459748.111825,567813.967229
2025,478700.865654,586455.856205
2026,498008.22501,605452.350708
2027,505178.634593,612311.895438
2028,523385.077272,630276.554343
2029,543539.54983,650120.162048
2030,548556.22657,654929.595552
2031,570039.319593,676067.283183
