year,Base case cost,Modeled non-residential ashp
2017,946101.737905,1167576.34835
2018,1009360.18335,1222262.56777
2019,1100138.08632,1301253.65997
2020,1146723.19108,1342481.12346
2021,1185200.72976,1377029.72522
2022,1224743.22786,1413714.81465
2023,1250697.41369,1437883.12005
2024,1276919.75045,1462319.57639
2025,1310850.83813,1494464.78365
2026,1342454.30505,1523568.01798
2027,1372017.4729,1550988.12932
2028,1397017.37094,1574559.32303
2029,1434919.44441,1610318.33999
2030,1468258.24807,1642228.43932
2031,1501711.95642,1673181.91508
