year,Base case cost,Modeled residential ashp
2017,292374.202328,182230.806954
2018,317147.940325,203142.569731
2019,350050.893878,230666.343511
2020,369761.442565,247894.193842
2021,386507.390091,262847.081443
2022,392763.633546,267861.97572
2023,405750.463206,279883.311575
2024,417488.985889,290932.195826
2025,430107.206884,302722.850702
2026,436009.038608,307521.260935
2027,449663.124196,320209.852717
2028,461983.721199,331840.811288
2029,468112.703878,336866.372475
2030,479908.525935,348110.483786
2031,494995.990285,362094.526645
