year,Base case cost,False pass heat recovery
2019,142660.583708,142906.502681
2020,150587.408417,149391.376951
2021,156011.025323,153699.737803
2022,160183.038328,156924.757395
2023,163103.447431,159066.199651
2024,165606.655234,160852.776626
2025,168109.863036,162648.73448
2026,171864.67474,165547.26725
2027,174785.083844,167725.803722
2028,177288.291646,169548.605516
2029,180625.90205,172108.881772
2030,182294.707252,173219.604722
2031,186049.518956,176160.820786
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
