year,Base case cost,Modeled transmission and interties
2021,136022.257761,1056254.0089
2022,138322.688743,1046556.63041
2023,139969.387418,1036149.89188
2024,141616.086094,1025771.80839
2025,143057.830857,1015399.1931
2026,144890.04816,1006363.21753
2027,146522.612083,997154.984331
2028,147513.811608,987105.643328
2029,149545.682291,978942.570585
2030,150513.912843,969126.618035
2031,151870.84909,961171.349187
2032,153611.190502,953361.774257
2033,154643.02744,945128.44066
2034,155632.460121,937069.722194
2035,156111.274864,928453.779426
2036,157750.906163,921734.868881
2037,157871.05156,912746.146091
2038,159461.211226,906670.218236
2039,159524.817612,898565.368573
2040,160694.468388,891981.475213
