year,Base case cost,Modeled residential ashp
2017,5005.28563839,15789.9026453
2018,4705.07194442,14443.8764732
2019,5063.44326591,13507.3162848
2020,5218.73750523,12921.6919992
2021,5338.19461239,12404.2035928
2022,5421.81458741,11954.6735362
2023,5469.59743027,11572.9284695
2024,5517.38027314,11198.2380037
2025,5577.10882672,10810.249799
2026,5648.78309102,10408.8023975
2027,5696.56593389,10054.2991482
2028,5744.34877675,9706.2120215
2029,5804.07733033,9344.20365748
2030,5851.8601732,9008.50119987
2031,5911.58872678,8658.58723238
