year,Base case cost,Modeled transmission and interties
2021,1888239.30901,2946069.26101
2022,1989539.41186,3042616.67957
2023,2075513.072,3119505.29722
2024,2157156.74623,3195388.11557
2025,2240808.89888,3277351.34651
2026,2347771.98227,3377638.4741
2027,2443581.34545,3466000.35691
2028,2534561.97305,3553111.7798
2029,2635596.97472,3655316.1428
2030,2724521.196,3736848.16138
2031,2846797.24238,3854538.6364
2032,2964415.2963,3971477.8554
2033,3084974.92488,4096145.32206
2034,3217923.91474,4225892.44809
2035,3329580.93651,4337162.40793
2036,3470653.70486,4475912.21231
2037,3580690.16463,4590497.6646
2038,3730011.02444,4743221.06922
2039,3865280.02406,4876107.43375
2040,4031634.7579,5047593.68119
