year,Base case cost,Modeled residential ashp
2017,130720.367067,773136.939161
2018,142525.476183,754941.279581
2019,158173.188735,735403.601729
2020,168052.847005,721448.700772
2021,176790.253592,710342.306068
2022,185051.210416,700292.007129
2023,193009.644452,692077.243704
2024,200137.188658,683937.197098
2025,207961.790928,676780.240781
2026,216452.117029,668730.205795
2027,224919.467498,662155.397371
2028,233108.35824,656181.227227
2029,241825.817212,650383.060423
2030,250443.093143,645964.17839
2031,260291.633699,640573.813177
