year,Base case cost,Modeled non-residential ashp
2017,625375.914292,819241.846644
2018,690081.879854,869717.602774
2019,786848.879083,946087.968483
2020,830207.807815,979960.090926
2021,862727.004363,1005364.18276
2022,884406.468729,1022300.24398
2023,901750.040222,1035849.09296
2024,910082.162764,1041335.17361
2025,925180.221395,1053112.85004
2026,946748.876582,1069938.10209
2027,956905.437108,1076774.28041
2028,966906.864784,1083455.32589
2029,983984.494248,1096738.23284
2030,989494.896201,1099876.93322
2031,1005457.19821,1111095.83208
