year,Base case cost,Modeled transmission and interties
2021,210843.691093,433096.452823
2022,216917.641959,432645.12252
2023,221450.249403,430883.692152
2024,224950.005642,428240.33572
2025,229106.343957,426962.428719
2026,234571.313058,426433.240168
2027,238747.295946,424795.563471
2028,242281.052408,423281.401146
2029,247126.461899,422508.298907
2030,250676.840692,420612.777802
2031,256195.45459,420696.473437
2032,260770.373422,420640.158955
2033,266306.36521,420948.065965
2034,271854.445967,421990.080023
2035,276102.962663,420646.663302
2036,281349.57478,421628.281051
2037,284956.620611,420486.555768
2038,290543.234953,421943.559467
2039,295483.845067,421623.611879
2040,301406.683833,423611.365132
