year,Base case cost,Modeled non-residential ashp
2017,492724.735267,608967.715381
2018,521650.441845,633963.682187
2019,559873.696965,667813.881935
2020,578468.794051,683143.843678
2021,590865.525442,692661.26171
2022,600163.073984,699297.729798
2023,607394.500629,704029.644839
2024,612559.805375,706855.819184
2025,618758.17107,710707.932132
2026,627022.658664,716562.464087
2027,633221.024359,720507.856827
2028,638386.329105,723520.643222
2029,645617.755749,728532.60753
2030,650783.060495,731632.267497
2031,659047.548089,737706.682319
