year,Base case cost,Modeled residential ashp
2017,30862.9080394,70867.4939107
2018,32759.0228632,72929.1307547
2019,35340.9664531,75874.5197605
2020,36551.2525109,77077.4111333
2021,37358.1098827,77773.4021819
2022,37922.910043,78168.2700558
2023,38366.6815975,78416.3050758
2024,38689.4245463,78517.3281594
2025,39092.8532322,78728.6205865
2026,39576.9676553,79050.0115701
2027,52387.9489253,91682.9219814
2028,52863.7151256,91976.2553927
2029,53445.2071482,92404.23873
2030,53815.2475262,92582.6490139
2031,54449.60246,93087.4360334
