year,annotation,diesel generation efficiency
2002,,12.03
2003,,12.71
2004,,12.69
2005,,11.96
2006,,12.22
2007,,12.6
2008,,12.2
2009,,11.83
2010,,12.45
2011,,11.99
2012,,11.76
2013,,12.72
2014,,13.35
2015,,12.78
2016,start of forecast,12.95
2017,,12.95
2018,,12.95
2019,,12.95
2020,,12.95
2021,,12.95
2022,,12.95
2023,,12.95
2024,,12.95
2025,,12.95
2026,,12.95
2027,,12.95
2028,,12.95
2029,,12.95
2030,,12.95
2031,,12.95
2032,,12.95
2033,,12.95
2034,,12.95
2035,,12.95
2036,,12.95
2037,,12.95
2038,,12.95
2039,,12.95
2040,,12.95
