year,Base case cost,Modeled transmission and interties
2021,263440.907465,861419.059557
2022,272754.66816,860802.038605
2023,279118.94375,856750.645724
2024,283903.630017,853189.402326
2025,290517.395006,849868.813378
2026,298053.352406,848507.864425
2027,304689.311238,846516.868517
2028,309509.966835,843024.859312
2029,317610.719255,842908.952545
2030,322726.01724,839278.987491
2031,330611.718982,839338.282844
2032,338240.278275,840189.349683
2033,346800.978943,840375.418829
2034,355375.455099,841631.612127
2035,361199.425427,840469.316007
2036,370106.043912,842437.494147
2037,375342.260072,841110.049141
2038,384297.858071,844349.081121
2039,392353.457501,845153.16558
2040,401960.329974,848426.634975
