year,Base case cost,Modeled residential ashp
2017,391645.359509,604844.080393
2018,419141.985147,620201.717638
2019,457282.465872,643220.195479
2020,474135.236424,651208.587874
2021,486553.067358,656139.207345
2022,495422.946596,658640.103929
2023,505260.761461,663225.026623
2024,510630.683954,663429.066392
2025,516895.593529,664356.315198
2026,524055.490186,666004.78154
2027,530320.399761,667096.042882
2028,535690.322253,667628.199979
2029,541955.231828,668875.875844
2030,546430.167239,668922.542634
2031,558537.905767,675905.46778
