year,Base case cost,Modeled transmission and interties
2021,442383.520881,1861511.44831
2022,452891.442992,1861436.30161
2023,459196.196258,1854886.35281
2024,465500.949525,1848747.52546
2025,472856.495003,1843115.26316
2026,481262.832692,1841865.44014
2027,488618.37817,1838303.23518
2028,494923.131436,1832419.67437
2029,502278.676914,1830891.6261
2030,507532.63797,1824329.63147
2031,515579.686678,1823002.55201
2032,525030.230833,1824014.07386
2033,533430.714527,1825252.69081
2034,542881.258682,1826920.63155
2035,549181.621452,1823413.49914
2036,557582.105145,1826896.63653
2037,563882.467915,1822706.64906
2038,573333.01207,1826891.80192
2039,579229.449143,1825189.47236
2040,590133.979457,1832026.92171
