year,Base case cost,Landlocked creek,Port heiden (barabara creek),Port heiden (reindeer creek)
2021,550191.782153,1237328.3319,897309.703522,1009956.58053
2022,562575.367453,1209889.25422,879838.462458,991620.357067
2023,570498.964177,1184358.84919,863395.398568,974081.024864
2024,577556.658865,1158543.64033,846478.703838,956103.149848
2025,585468.393918,1134149.95202,830799.127816,939396.65928
2026,596017.373988,1110060.88237,815587.65814,923325.345847
2027,604808.190714,1086679.37823,800678.84956,907500.299772
2028,611840.844094,1063992.75454,786064.138996,891912.192021
2029,623374.34292,1043436.29095,773755.443436,878794.871974
2030,630487.392075,1022812.47605,760757.524748,864840.618673
2031,641083.818833,1001352.9052,747336.519849,850715.680179
2032,651680.24559,980374.008499,734239.994743,836944.245673
2033,661288.199703,958876.046971,720471.871433,822529.556873
2034,672750.528497,938728.598627,708019.825091,809503.160759
2035,678922.551695,919512.120716,695666.14631,796334.946845
2036,690384.880489,900249.505558,683811.407916,783959.286913
2037,698481.130436,882859.08059,673117.518244,772547.574171
2038,709077.557194,864536.675443,661814.261681,760729.813192
2039,717907.912825,846779.883598,650715.271535,749051.830985
2040,730270.410709,829103.764027,640025.842677,737985.562559
2041,730270.410709,812925.196977,629104.477134,726087.29845
2042,730270.410709,797125.814711,618439.080838,714467.899625
2043,731360.366546,782786.687144,609113.611171,704210.786915
2044,731360.366546,767719.222745,598942.297111,693129.665186
2045,732450.322383,754094.858153,590099.329245,683398.213286
2046,732450.322383,739725.403985,580399.20802,672830.431833
2047,732450.322383,725692.734445,570926.433755,662510.33316
2048,733540.27822,713078.911073,562765.63323,653522.067371
2049,733540.27822,699696.313985,553731.691333,643680.053914
2050,733540.27822,686627.371897,544909.482705,634068.712927
