year,Base case cost,Modeled solar power (pv)
2016,307046.697102,324945.677526
2017,363839.926312,380529.722327
2018,407135.547781,422819.614477
2019,464633.207647,479134.438246
2020,491680.658453,505429.93204
2021,509085.468434,522221.690242
2022,522744.259461,535333.189373
2023,532098.859784,544204.725567
2024,539083.468832,550751.799937
2025,547042.639783,558266.733767
2026,557577.75843,568334.173268
2027,567077.125222,577393.350868
2028,573603.555856,583523.097981
2029,583996.14669,593478.912881
2030,589144.310987,598265.870583
2031,599441.3858,608145.502179
2032,609684.732851,617981.020548
2033,619874.35214,627772.21977
2034,631295.978859,638788.768343
2035,637526.906802,644686.835734
