year,Base case cost,Modeled non-residential ashp
2017,39976.6503111,45346.4138878
2018,44185.4574943,46991.4368966
2019,47741.6276693,46862.1673208
2020,50491.5296016,47849.4676332
2021,52366.4627372,48522.626937
2022,50933.9988117,46208.8622015
2023,51881.7256939,46515.6430401
2024,49805.6265926,43878.7161507
2025,50701.116018,44133.2595325
2026,48692.1769028,41403.2561182
2027,49535.4288714,41605.5620432
2028,47158.9643935,38668.2697772
2029,44875.7786301,35664.0197147
2030,45429.8614213,35737.3929732
2031,43075.7807373,32582.1297346
