year,Base case cost,Modeled transmission and interties
2021,3859013.71946,6334167.97968
2022,3966208.545,6447724.83973
2023,4037671.76202,6527979.3886
2024,4100202.07692,6594220.89029
2025,4171665.29395,6669925.46366
2026,4261710.32839,6769887.77244
2027,4342849.48007,6855865.65701
2028,4407620.90115,6924550.59864
2029,4488838.10877,7010611.17179
2030,4542489.56027,7067446.84775
2031,4632686.20337,7167575.11521
2032,4722912.86799,7267736.7151
2033,4821306.88607,7367414.34591
2034,4920526.49585,7477103.38865
2035,4983151.37852,7543445.07074
2036,5081561.90844,7647696.28545
2037,5143323.67253,7713098.98566
2038,5240838.06019,7816376.23486
2039,5312385.33746,7896725.18498
2040,5418796.60143,8013981.14026
