year,annotation,consumption,consumption residential,consumption non-residential
2003,,4693306.0,789199.0,3904107.0
2004,,4592571.0,847851.0,3744720.0
2005,,4441273.0,830536.0,3610737.0
2006,,4915045.0,814554.0,4100491.0
2007,,5589527.0,887582.0,4701944.0
2008,,5552447.0,850502.0,4701944.0
2009,,5821244.0,1044964.0,4776280.0
2010,,5165153.0,1144645.0,4020508.0
2011,,4707462.0,1150000.0,3557462.0
2012,,5461132.0,1213720.0,4247412.0
2013,,5862315.0,1170786.0,4691529.0
2014,,5859015.0,1239245.0,4619770.0
2015,,6198243.0,1403709.0,4794534.0
2016,start of forecast,6060685.0,1358740.0,4701944.0
2017,,6103498.0,1401553.0,4701944.0
2018,,6144778.0,1442834.0,4701944.0
2019,,6184083.0,1482139.0,4701944.0
2020,,6222862.0,1520918.0,4701944.0
2021,,6261366.0,1559422.0,4701944.0
2022,,6297971.0,1596027.0,4701944.0
2023,,6333963.0,1632019.0,4701944.0
2024,,6368195.0,1666251.0,4701944.0
2025,,6404315.0,1702371.0,4701944.0
2026,,6439329.0,1737385.0,4701944.0
2027,,6475833.0,1773889.0,4701944.0
2028,,6512116.0,1810171.0,4701944.0
2029,,6542142.0,1840198.0,4701944.0
2030,,6573364.0,1871420.0,4701944.0
2031,,6606460.0,1904516.0,4701944.0
2032,,6644316.0,1942372.0,4701944.0
2033,,6683557.0,1981613.0,4701944.0
2034,,6722767.0,2020822.0,4701944.0
2035,,6761357.0,2059413.0,4701944.0
2036,,6798292.0,2096348.0,4701944.0
2037,,6833595.0,2131651.0,4701944.0
2038,,6870299.0,2168355.0,4701944.0
2039,,6908788.0,2206844.0,4701944.0
2040,,6949163.0,2247218.0,4701944.0
