year,Base case cost,Modeled residential ashp
2017,621232.402672,1019075.04207
2018,702741.995336,1054978.18484
2019,804144.195049,1099648.35971
2020,856958.597484,1118779.02313
2021,897388.091243,1133375.76198
2022,925073.947632,1138010.13755
2023,941685.461465,1136877.46114
2024,951544.20699,1130495.80537
2025,966778.508801,1127190.12695
2026,988742.491065,1129575.0369
2027,1005215.47776,1129222.33581
2028,1021688.46446,1129085.96525
2029,1010270.21539,1100003.6881
2030,998814.716874,1074888.26347
2031,1006124.87198,1063676.24182
