year,Base case cost,Modeled non-residential ashp
2017,635964.589598,804931.619188
2018,710255.557583,854676.550643
2019,809310.181562,922262.601974
2020,858837.493552,954412.692258
2021,891855.701546,974802.768516
2022,919370.874874,991323.594949
2023,935879.97887,1000027.05876
2024,949637.565534,1006830.85644
2025,968898.186863,1017652.72581
2026,990910.325526,1030517.83148
2027,1007419.42952,1039505.07073
2028,1023928.53352,1048559.14625
2029,1043189.15485,1059651.64496
2030,1054195.22418,1064888.42353
2031,1076207.36284,1078080.06181
