year,Base case cost,False pass heat recovery
2019,191473.02216,190019.544381
2020,202112.07216,199256.473552
2021,209391.42216,205459.463604
2022,214990.92216,210149.95467
2023,218910.57216,213327.732038
2024,222270.27216,216007.026029
2025,225629.97216,218694.851882
2026,230669.52216,222912.66963
2027,234589.17216,226124.18399
2028,237948.87216,228836.424266
2029,242428.47216,232570.864221
2030,244668.27216,234284.001992
2031,249707.82216,238540.63997
2032,254747.37216,242804.504714
2033,259786.92216,247075.426848
2034,264826.47216,251353.240963
2035,268186.17216,254116.125527
2036,273785.67216,258914.462797
2037,276585.42216,261183.118725
2038,282184.92216,265994.142873
