year,Base case cost,Modeled non-residential ashp
2017,308926.056659,413273.404563
2018,331308.79057,437202.6252
2019,361525.48135,469507.07306
2020,375514.690044,484462.835958
2021,394532.410545,504137.813317
2022,401986.379786,512094.390744
2023,407146.82003,517602.790501
2024,411733.878024,522499.14584
2025,416320.936019,527395.50118
2026,422628.140762,534127.989772
2027,438094.845883,549942.654407
2028,442205.218939,554323.66264
2029,448077.180447,560582.24583
2030,451600.357353,564337.395744
2031,468835.452542,581997.774783
