year,Base case cost,Modeled non-residential ashp
2017,187564.869599,216691.284152
2018,205335.046695,228575.002054
2019,230422.355535,245601.113088
2020,241920.70542,253115.079512
2021,250283.141701,258443.705948
2022,256554.968911,262319.403711
2023,260736.187051,264741.879983
2024,264394.752924,266809.915557
2025,268575.971064,269255.942343
2026,274325.146006,272812.398795
2027,278506.364146,275280.885101
2028,282164.930019,277393.852349
2029,286868.800427,280250.113302
2030,290004.714032,282017.642025
2031,295753.888974,285627.040959
