year,Base case cost,Modeled transmission and interties
2021,459261.257827,2631930.77559
2022,471228.9779,2644527.72948
2023,480204.767956,2653760.6339
2024,487684.593002,2662170.75756
2025,496660.383057,2671403.66198
2026,507132.138121,2682318.59113
2027,516107.928177,2691551.49555
2028,523587.753223,2699961.61922
2029,534059.508287,2710876.54837
2030,540043.368324,2716745.40332
2031,550515.123389,2728519.57645
2032,560986.878453,2739434.5056
2033,572954.598527,2751172.21551
2034,584922.3186,2763769.1694
2035,590906.178637,2771356.5123
2036,602873.898711,2783094.22221
2037,609741.533462,2790842.59999
2038,621697.249805,2802568.53687
2039,630664.037061,2812650.56275
2040,644114.217947,2826056.83728
