year,Base case cost,Modeled transmission and interties
2021,398065.336486,1717211.45398
2022,413302.79378,1728537.98428
2023,425430.192671,1737258.09139
2024,436594.060624,1745157.43544
2025,449413.546173,1754375.6056
2026,464708.757569,1765632.47114
2027,479486.107182,1776274.36494
2028,492506.76952,1785510.95222
2029,509728.080224,1798048.20814
2030,520306.706608,1806254.23731
2031,537546.306111,1818938.02947
2032,554615.531013,1831500.10847
2033,572366.25432,1843517.68124
2034,591272.059671,1858469.1817
2035,605248.552401,1868388.00325
2036,623744.303626,1881996.65526
2037,638558.230838,1892518.43739
2038,656577.51072,1905780.36704
2039,673110.58504,1917685.83559
2040,698229.769218,1935274.98828
