year,Base case cost,Modeled non-residential ashp
2017,2504222.45617,2547281.62981
2018,2801598.87284,2841097.26041
2019,3208535.02197,3243160.75492
2020,3396351.70618,3428728.52161
2021,3529388.52417,3560172.35635
2022,3623296.86627,3652956.2397
2023,3693728.12285,3722544.15221
2024,3748507.98908,3776668.08416
2025,3818939.24566,3846255.99667
2026,3905021.89259,3931307.88974
2027,3967627.454,3993163.81197
2028,4030233.0154,4055019.7342
2029,4108489.96715,4132339.63699
2030,4147618.44303,4170999.58838
2031,4233701.08996,4256051.48145
