year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation natural gas [kWh/year],generation diesel [kWh/year]
2003,,14169.21,5250288.0,0.0,5250288.0
2004,,14169.21,5174156.0,0.0,5174156.0
2005,,14169.21,4766589.0,0.0,4766589.0
2006,,14169.21,4856475.0,0.0,4856475.0
2007,,14169.21,5918000.0,4855491.33,1062508.67
2008,,14169.21,5878000.0,4815491.33,1062508.67
2009,,14169.21,1880989.0,1880989.0,0.0
2010,,14169.21,5581126.0,5581126.0,0.0
2011,,14169.21,5960800.0,4458675.0,1502125.0
2012,,14169.21,5315800.0,3907728.0,1408072.0
2013,,14169.21,6306845.0,6029516.0,277329.0
2014,start of forecast,14169.21,5971000.0,4908491.33,1062508.67
2015,,14169.21,5985000.0,4922491.33,1062508.67
2016,,14169.21,5998000.0,4935491.33,1062508.67
2017,,14169.21,6011000.0,4948491.33,1062508.67
2018,,14169.21,6022000.0,4959491.33,1062508.67
2019,,14169.21,6033000.0,4970491.33,1062508.67
2020,,14169.21,6043000.0,4980491.33,1062508.67
2021,,14169.21,6053000.0,4990491.33,1062508.67
2022,,14169.21,6063000.0,5000491.33,1062508.67
2023,,14169.21,6071000.0,5008491.33,1062508.67
2024,,14169.21,6080000.0,5017491.33,1062508.67
2025,,14169.21,6088000.0,5025491.33,1062508.67
2026,,14169.21,6096000.0,5033491.33,1062508.67
2027,,14169.21,6104000.0,5041491.33,1062508.67
2028,,14169.21,6113000.0,5050491.33,1062508.67
2029,,14169.21,6121000.0,5058491.33,1062508.67
2030,,14169.21,6128000.0,5065491.33,1062508.67
2031,,14169.21,6137000.0,5074491.33,1062508.67
2032,,14169.21,6146000.0,5083491.33,1062508.67
2033,,14169.21,6156000.0,5093491.33,1062508.67
2034,,14169.21,6166000.0,5103491.33,1062508.67
2035,,14169.21,6176000.0,5113491.33,1062508.67
2036,,14169.21,6186000.0,5123491.33,1062508.67
2037,,14169.21,6196000.0,5133491.33,1062508.67
2038,,14169.21,6206000.0,5143491.33,1062508.67
2039,,14169.21,6216000.0,5153491.33,1062508.67
2040,,14169.21,6227000.0,5164491.33,1062508.67
