year,Base case cost,Modeled non-residential ashp
2017,20627.812256,32672.2620251
2018,21888.8593393,32629.7202459
2019,23645.3177767,32850.7962989
2020,24455.9909017,32614.1452828
2021,25041.4770475,32279.8934575
2022,25446.81361,31870.2185335
2023,25762.0753809,31429.8369761
2024,25987.26236,30958.4122947
2025,26257.486735,30523.2073917
2026,26617.7859017,30146.4319125
2027,26933.0476725,29760.181095
2028,27158.2346517,29341.618468
2029,27518.5338183,29003.0976387
2030,27698.6834017,28586.6134471
2031,28058.9825683,28272.1247381
