year,Base case cost,Modeled transmission and interties
2021,901809.265304,1689066.80042
2022,924529.460184,1702283.03065
2023,938009.290073,1707911.37356
2024,951404.178983,1709176.98236
2025,964714.126914,1712876.55753
2026,982126.269055,1721315.63981
2027,997500.586119,1727778.53148
2028,1010190.91995,1729295.54537
2029,1025023.73828,1737868.52238
2030,1033053.69433,1736979.97549
2031,1052137.35358,1746215.91111
2032,1068866.93429,1755313.80551
2033,1087684.39458,1764712.70432
2034,1105984.62498,1775954.61714
2035,1115736.15264,1778040.07198
2036,1133770.94249,1789395.55573
2037,1142531.99768,1790773.70372
2038,1160286.17893,1802207.39539
2039,1173147.15312,1808455.82131
2040,1192762.45189,1820148.91556
