year,Base case cost,St. marys-pitkas point wind energy construction project,Modeled wind power
2017,644938.646245,1036666.59618,
2018,719565.362854,1096105.29498,
2019,823483.065732,1182698.09969,987094.718731
2020,869775.89888,1216401.69857,1008636.13593
2021,901809.265304,1237137.74793,1020749.29748
2022,924529.460184,1249485.73598,1026832.14401
2023,938009.290073,1253513.75483,1026952.89928
2024,951404.178983,1257648.66593,1027175.18836
2025,964714.126914,1261885.97314,1027494.64078
2026,982126.269055,1270046.44165,1030550.46189
2027,997500.586119,1276528.73337,1032513.957
2028,1010190.91995,1280682.5028,1032734.89756
2029,1025023.73828,1286968.14914,1034492.11468
2030,1033053.69433,1287160.29098,1031923.7033
2031,1052137.35358,1297663.67679,1036707.79097
2032,1068866.93429,1306152.65448,1040063.87938
2033,1087684.39458,1316703.48369,1044886.64959
2034,1105984.62498,1326888.41274,1049339.29265
2035,1115736.15264,1329396.38056,1048474.21142
2036,1133770.94249,1339607.97127,1052945.3569
2037,1142531.99768,,1051367.09132
2038,1160286.17893,,1055828.41741
