year,Base case diesel consumed,St. marys-pitkas point wind energy construction project,Modeled wind power
2017,231160.805106,209864.160691,
2018,230629.923992,209333.279577,
2019,230023.202718,208726.558303,139203.597813
2020,229492.321604,208195.677189,138672.716699
2021,228885.600331,207588.955916,138065.995426
2022,228278.879058,206982.234643,137459.274153
2023,227672.157785,206375.51337,136852.552879
2024,227065.436511,205768.792096,136245.831606
2025,226458.715238,205162.070823,135639.110333
2026,225776.153806,204479.509391,134956.5489
2027,225169.432532,203872.788117,134349.827627
2028,224486.8711,203190.226685,133667.266195
2029,223804.309668,202507.665253,132984.704762
2030,223121.748235,201825.10382,132302.14333
2031,222439.186803,201142.542388,131619.581898
2032,221756.62537,200459.980955,130937.020465
2033,221074.063938,199777.419523,130254.459033
2034,220315.662347,199019.017931,129496.057441
2035,219633.100914,198336.456499,128813.496009
2036,218874.699323,197578.054907,128055.094417
2037,218040.457572,,127220.852667
2038,217282.05598,,126462.451075
