year,Base case cost,Modeled residential ashp
2017,1922179.20559,2835183.08676
2018,2033379.8358,2929582.82817
2019,2184426.27991,3063418.15409
2020,2246920.47797,3110545.49936
2021,2296969.96685,3145967.53138
2022,2342712.78693,3177677.47788
2023,2378209.87918,3199660.20964
2024,2400272.23658,3208582.26313
2025,2425645.6977,3221045.1924
2026,2458069.19658,3240712.37691
2027,2483176.62433,3253485.1286
2028,2504627.01388,3262947.24994
2029,2533464.73627,3279930.91286
2030,2551657.2156,3286739.99385
2031,2569370.47745,3293122.93412
