year,annotation,diesel generation efficiency
2002,,13.7
2003,,13.84
2004,,13.54
2005,,13.3
2006,,13.28
2007,,12.91
2008,,13.31
2009,,13.34
2010,,13.86
2011,,13.26
2012,,13.77
2013,,14.33
2016,start of forecast,13.79
2017,,13.79
2018,,13.79
2019,,13.79
2020,,13.79
2021,,13.79
2022,,13.79
2023,,13.79
2024,,13.79
2025,,13.79
2026,,13.79
2027,,13.79
2028,,13.79
2029,,13.79
2030,,13.79
2031,,13.79
2032,,13.79
2033,,13.79
2034,,13.79
2035,,13.79
2036,,13.79
2037,,13.79
2038,,13.79
2039,,13.79
2040,,13.79
