year,Base case cost,Modeled residential ashp
2017,49693.998121,325613.056888
2018,51395.9928104,308490.802459
2019,59335.3963308,293089.6282
2020,63614.5677819,283029.644362
2021,65505.1308807,273051.665142
2022,69532.0407181,267211.131665
2023,74014.1297005,262891.191637
2024,81259.825292,262397.156655
2025,89181.2680095,261773.135486
2026,96547.0196229,260717.214005
2027,101674.870689,257544.281154
2028,105812.182577,253965.11221
2029,140794.146515,280879.637183
2030,174359.247433,307422.380656
2031,205077.074503,329829.056275
