year,Base case cost,Modeled transmission and interties
2021,1378020.70728,2919509.69541
2022,1412116.69386,2933398.49449
2023,1438205.49971,2939354.635
2024,1459135.38901,2938194.56184
2025,1481128.17841,2940831.0871
2026,1509185.66009,2950382.41707
2027,1534966.37896,2957971.56632
2028,1556141.19741,2958987.48668
2029,1579303.17692,2966946.89185
2030,1592612.53465,2960626.36008
2031,1618072.84306,2969725.25878
2032,1645923.90646,2981721.91625
2033,1677525.92891,2995934.69296
2034,1709670.18444,3013263.53112
2035,1725567.47285,3013846.49171
2036,1755393.37383,3029535.47749
2037,1771090.40569,3030660.1394
2038,1801322.98149,3047501.78833
2039,1824477.25882,3055090.86711
2040,1858225.10711,3076349.21974
