year,Base case cost,Modeled solar power (pv)
2016,412369.807566,436332.678432
2017,491873.194374,513959.829124
2018,549011.006536,569606.586197
2019,627654.060439,646440.729484
2020,664483.548795,682152.692439
2021,689010.353638,705771.336977
2022,706058.34693,722054.02919
2023,719102.749857,734411.535904
2024,729567.694506,744235.851064
2025,740564.089204,754606.746183
2026,754592.830047,767965.139436
2027,767483.189482,780230.160664
2028,778070.598707,790236.201247
2029,789651.588458,801220.545972
2030,796306.267325,807350.336371
2031,809036.421528,819482.427131
2032,822961.953232,832823.75571
2033,838762.964454,848025.936894
2034,854835.092222,863512.961908
2035,862783.736425,871000.913317
