year,Base case cost,Modeled transmission and interties
2021,715014.05063,2578316.92295
2022,734295.3284,2571893.57897
2023,748756.286727,2560219.29254
2024,760003.69876,2546582.36738
2025,772857.883939,2536038.90577
2026,790532.388562,2529535.95216
2027,805734.593065,2521001.26412
2028,816992.36183,2509680.21426
2029,831466.635957,2502285.4443
2030,841889.94795,2491159.27174
2031,859597.002304,2487405.00533
2032,877304.056659,2484964.23844
2033,893401.378799,2481323.96383
2034,913557.060741,2481625.00149
2035,924835.542972,2473868.90672
2036,942558.872193,2473351.89501
2037,953837.354424,2466504.6995
2038,971560.683645,2466875.28481
2039,986061.589371,2463475.86075
2040,1007007.34209,2467273.90311
