year,Base case cost,Modeled residential ashp
2017,100726.409108,537918.75312
2018,106725.812829,533490.094068
2019,113077.45682,528347.211395
2020,116746.22773,523344.612577
2021,119113.176704,518027.683457
2022,122684.226724,514364.515818
2023,124004.095542,508972.783767
2024,124964.000137,503587.724186
2025,126283.868956,498468.010702
2026,127723.725849,493523.193983
2027,129043.594667,488662.898045
2028,130123.487337,483840.468877
2029,131443.356155,479227.572738
2030,132283.272676,474559.445344
2031,133843.117643,470269.787504
