year,Base case cost,Modeled transmission and interties
2021,565351.128757,2529767.00991
2022,580713.931169,2545059.63608
2023,590879.952606,2556710.00257
2024,599789.919869,2564053.04737
2025,610527.846824,2574741.9242
2026,624333.752908,2588484.76584
2027,635387.793192,2599486.79187
2028,644596.311934,2608653.24672
2029,656874.336923,2620875.18652
2030,664548.102541,2628513.89889
2031,677162.856947,2642598.01235
2032,690982.507089,2654826.03272
2033,705152.630705,2668929.90803
2034,718979.152876,2682693.27158
2035,728196.834323,2691868.84727
2036,743559.636735,2707161.47344
2037,751614.418178,2715177.94104
2038,766984.856178,2730478.16792
2039,777744.162777,2741188.32673
2040,793508.597101,2756879.23004
