year,Base case cost,Modeled residential ashp
2017,25812042.69,38472958.1019
2018,28860698.49,41217773.183
2019,33052478.7,45111858.3436
2020,34958350.12,46728769.4521
2021,36388021.2,47876599.4483
2022,37341406.48,48555104.9821
2023,38104256.0,49049652.3507
2024,38676607.48,49360128.6976
2025,39344246.76,49771943.2667
2026,40202446.12,50380148.2195
2027,40965416.3,50899043.6114
2028,41537929.28,51233340.9959
2029,42300812.4,51763427.9014
2030,42777963.14,52013453.7955
2031,43636247.7,52649621.7101
