year,Base case diesel consumed,Hooper bay wind farm construction,Modeled wind power
2019,224784.545134,193093.129338,187700.29695
2020,228396.455134,196705.039338,191312.206951
2021,231558.284535,199866.868738,194474.036351
2022,235220.994388,203529.578592,198136.746204
2023,238821.74378,207130.327984,201737.495596
2024,242418.772969,210727.357173,205334.524785
2025,246112.095565,214420.679769,209027.847381
2026,249840.009003,218148.593207,212755.76082
2027,253634.697052,221943.281256,216550.448868
2028,257446.498197,225755.082401,220362.250014
2029,261395.338572,229703.922776,224311.090388
2030,265417.821258,233726.405462,228333.573075
2031,269443.075707,237751.659911,232358.827523
2032,273466.321471,241774.905675,236382.073288
2033,277636.302007,245944.886211,240552.053823
2034,281879.835087,250188.419291,244795.586903
2035,286122.967926,254431.55213,249038.719742
2036,290585.716026,258894.30023,253501.467842
2037,295048.506934,263357.091138,257964.258751
2038,299657.54357,267966.127774,262573.295387
