year,Base case cost,Hooper bay wind farm construction,Modeled wind power
2019,624901.035472,739417.881284,809425.68673
2020,673769.542646,779748.504667,847501.7562
2021,708568.350676,807721.444709,873530.260443
2022,740946.132321,833903.570805,897893.541268
2023,766617.797532,854277.582738,916619.437388
2024,790285.199878,873003.448133,933775.28535
2025,814631.036319,892491.935003,951725.169708
2026,846957.630521,919233.668466,976821.19077
2027,875039.704829,942350.986301,998414.61482
2028,901062.74369,963757.582744,1018372.5044
2029,930567.405316,988452.461472,1041601.31847
2030,955504.15653,1009194.02014,1060996.57356
2031,991550.5186,1040038.57668,1090338.35657
2032,1025498.70552,1069126.17603,1117995.72138
2033,1060570.67367,1099407.19476,1146872.49137
2034,1099331.35684,1133175.02608,1179215.52123
2035,1130185.72331,1159912.67822,1204690.94242
2036,1171060.43558,1195925.80635,1239328.25226
2037,1200847.42322,1221994.17927,1264228.15887
2038,1243578.80582,1259989.16438,1300894.03969
